UrusanPemerintahan,Organisasi,KodeRekening,Uraian,Jumlah
1.13 Sosial,1.13.019 PSBL Harapan Sentosa 2,1.13 019 01 010,Penyediaan Makanan dan Minuman WBS PSBL Harapan Sentosa 2,10.097.183.300
1.13 Sosial,1.13.019 PSBL Harapan Sentosa 2,1.13 019 01 011,Pelayanan dan Rehabilitasi Warga Binaan Sosial PSBL Harapan Sentosa 2,2.421.005.808
1.13 Sosial,1.13.019 PSBL Harapan Sentosa 2,1.13 019 01 012,Pelaksanaan Piket dan Penyediaan Tenaga Pelayanan Sosial PSBL Harapan Sentosa 2,1.833.190.353
1.13 Sosial,1.13.019 PSBL Harapan Sentosa 2,1.13 019 02 001,Penyediaan dan Pemeliharaan Sarana dan Prasarana PSBL Harapan Sentosa 2,1.075.795.842
1.13 Sosial,1.13.020 PSBL Harapan Sentosa 3,1.13 020 00 000 5,BELANJA DAERAH,8.493.359.596
1.13 Sosial,1.13.020 PSBL Harapan Sentosa 3,1.13 020 01 009,Penyelenggaraan Operasional Kantor PSBL Harapan Sentosa 3,1.354.905.148
1.13 Sosial,1.13.020 PSBL Harapan Sentosa 3,1.13 020 01 010,Penyediaan Jasa TALI dan IPAL (12 Bulan),333.595.050
1.13 Sosial,1.13.020 PSBL Harapan Sentosa 3,1.13 020 01 011,Penyediaan Makanan dan Minuman WBS PSBL Harapan Sentosa3,4.051.148.000
1.13 Sosial,1.13.020 PSBL Harapan Sentosa 3,1.13 020 01 012,Pelayanan & Rehabilitasi WBS PSBL Harapan Sentosa 3,1.468.544.879
1.13 Sosial,1.13.020 PSBL Harapan Sentosa 3,1.13 020 01 013,Pelaksanaan Piket & Penyediaan Tenaga Pelayanan Sosial PSBL Harapan Sentosa 3,1.006.718.180
1.13 Sosial,1.13.020 PSBL Harapan Sentosa 3,1.13 020 01 014,Pemeliharaan Gedung PSBL Harapan Sentosa 3,120.309.825
1.13 Sosial,1.13.020 PSBL Harapan Sentosa 3,1.13 020 02 001,Penyediaan Sarana dan Prasarana PSBL Harapan Sentosa 3,158.138.514
1.13 Sosial,1.13.021 PSBI Bangun Daya 1,1.13 021 00 000 5,BELANJA DAERAH,14.172.269.631
1.13 Sosial,1.13.021 PSBI Bangun Daya 1,1.13 021 01 011,Penyelenggaraan Operasional Kantor PSBI Bangun Daya 1,3.303.571.473
1.13 Sosial,1.13.021 PSBI Bangun Daya 1,1.13 021 01 012,Penyediaan Jasa TALI dan IPAL (12 Bulan),509.999.160
1.13 Sosial,1.13.021 PSBI Bangun Daya 1,1.13 021 01 013,Penyediaan Makanan dan Minuman WBS PSBI Bangun Daya 1,4.957.683.100
1.13 Sosial,1.13.021 PSBI Bangun Daya 1,1.13 021 01 014,Pelayanan dan Rehabilitasi Warga Binaan Sosial PSBI Bangun Daya 1,2.419.683.962
1.13 Sosial,1.13.021 PSBI Bangun Daya 1,1.13 021 01 015,Pelaksanaan Piket dan Penyediaan Tenaga Pelayanan Sosial PSBI Bangun Daya 1,1.312.833.435
1.13 Sosial,1.13.021 PSBI Bangun Daya 1,1.13 021 02 001,Penyediaan dan Pemeliharaan Sarana dan Prasarana Sosial PSBI Bangun Daya 1,699.999.850
1.13 Sosial,1.13.021 PSBI Bangun Daya 1,1.13 021 02 002,"Pemeliharaan dan Perbaikan Bangunan Kantor, Asrama(Barak-Barak), Dapur PSBI Bangun Daya 1",494.999.802
1.13 Sosial,1.13.021 PSBI Bangun Daya 1,1.13 021 02 003,Penataan Taman dan Lingkungan PSBI Bangun Daya 1,154.999.712
1.13 Sosial,1.13.021 PSBI Bangun Daya 1,1.13 021 02 004,Penyediaan dan Pemeliharaan Mechanical Elektrical,318.499.137
1.13 Sosial,1.13.022 PSBI Bangun Daya 2,1.13 022 00 000 5,BELANJA DAERAH,9.003.885.771
1.13 Sosial,1.13.022 PSBI Bangun Daya 2,1.13 022 01 010,Penyelenggaraan Operasional Kantor PSBI Bangun Daya 2,1.854.280.875
1.13 Sosial,1.13.022 PSBI Bangun Daya 2,1.13 022 01 011,Penyediaan Jasa TALI dan IPAL (12 Bulan),521.551.382
1.13 Sosial,1.13.022 PSBI Bangun Daya 2,1.13 022 01 012,Penyediaan Makanan dan Minuman WBS PSBI Bangun Daya 2,2.789.983.080
1.13 Sosial,1.13.022 PSBI Bangun Daya 2,1.13 022 01 013,Pelayanan dan Rehabilitasi Warga Binaan Sosial PSBI Bangun Daya 2,2.125.940.103
1.13 Sosial,1.13.022 PSBI Bangun Daya 2,1.13 022 01 014,Pelaksanaan Piket dan Penyediaan Tenaga Pelayanan Sosial PSBI Bangun Daya 2,769.916.970
1.13 Sosial,1.13.022 PSBI Bangun Daya 2,1.13 022 02 001,"Pemeliharaan dan Perbaikan Bangunan Kantor, Asrama(Barak-Barak) PSBI Bangun Daya 2",407.804.507
1.13 Sosial,1.13.022 PSBI Bangun Daya 2,1.13 022 02 002,Penataan Taman dan Lingkungan PSBI Bangun Daya 2,97.777.440
1.13 Sosial,1.13.022 PSBI Bangun Daya 2,1.13 022 02 003,Penyediaan dan Pemeliharaan Sarana Prasarana PSBI Bangun Daya 2,436.631.414
1.13 Sosial,1.13.023 PSBK Harapan Jaya,1.13 023 00 000 5,BELANJA DAERAH,5.630.032.673
1.13 Sosial,1.13.023 PSBK Harapan Jaya,1.13 023 01 008,Operasional Kantor PSBK Harapan Jaya,921.527.185
1.13 Sosial,1.13.023 PSBK Harapan Jaya,1.13 023 01 010,Penyediaan Makanan dan Minuman WBS PSBK Harapan Jaya,2.189.974.500
1.13 Sosial,1.13.023 PSBK Harapan Jaya,1.13 023 01 011,Pelayanan dan Rehabilitasi Warga Binaan Sosial PSBK Harapan Jaya,1.374.401.161
1.13 Sosial,1.13.023 PSBK Harapan Jaya,1.13 023 01 012,Pelaksanaan Piket dan Penyediaan Tenaga Pelayanan Sosial PSBK Harapan Jaya,662.136.450
1.13 Sosial,1.13.023 PSBK Harapan Jaya,1.13 023 01 013,Penyediaan Jasa TALI dan IPAL (12 Bulan),281.996.280
1.13 Sosial,1.13.023 PSBK Harapan Jaya,1.13 023 02 001,Pemeliharaan Gedung PSBK Harapan Jaya,199.997.097
1.13 Sosial,1.13.024 PSAA Putra Utama 3,1.13 024 00 000 5,BELANJA DAERAH,14.913.197.532
1.13 Sosial,1.13.024 PSAA Putra Utama 3,1.13 024 01 009,Penyelenggaraan Operasional Kantor PSAA Putra Utama 3,3.202.386.355
1.13 Sosial,1.13.024 PSAA Putra Utama 3,1.13 024 01 010,Penyediaan Jasa TALI dan IPAL (12 Bulan),488.364.006
1.13 Sosial,1.13.024 PSAA Putra Utama 3,1.13 024 01 011,Penyediaan Makanan dan Minuman WBS PSAA Putra Utama 3,2.035.549.000
1.13 Sosial,1.13.024 PSAA Putra Utama 3,1.13 024 01 012,Pelayanan dan Rehabilitasi Warga Binaan Sosial PSAA Putra Utama 3,7.197.431.048
1.13 Sosial,1.13.024 PSAA Putra Utama 3,1.13 024 01 013,Pelaksanaan Piket dan Penyediaan Tenaga Pelayanan Sosial PSAA Putra Utama 3,1.097.785.260
1.13 Sosial,1.13.024 PSAA Putra Utama 3,1.13 024 02 001,Penyediaan Sarana Prasarana Gedung PSAA Putra Utama 3,699.967.811
1.13 Sosial,1.13.024 PSAA Putra Utama 3,1.13 024 02 002,Penyediaan jasa Mechanical Elektrikal,191.714.052
1.13 Sosial,1.13.025 PSPP Khusnul Khotimah,1.13 025 00 000 5,BELANJA DAERAH,6.451.693.294
1.13 Sosial,1.13.025 PSPP Khusnul Khotimah,1.13 025 01 008,Penyelenggaraan Operasional Kantor PSPP Khusnul Khotimah,1.111.238.246
1.13 Sosial,1.13.025 PSPP Khusnul Khotimah,1.13 025 01 009,Penyediaan Jasa TALI dan IPAL (12 Bulan),303.249.850
1.13 Sosial,1.13.025 PSPP Khusnul Khotimah,1.13 025 01 010,Penyediaan Makanan dan Minuman WBS PSPP Khusnul Khotimah,2.088.974.500
1.13 Sosial,1.13.025 PSPP Khusnul Khotimah,1.13 025 01 011,Pelayanan dan Rehabilitasi Warga Binaan Sosial PSPP Khusnul Khotimah,2.042.823.905
1.13 Sosial,1.13.025 PSPP Khusnul Khotimah,1.13 025 01 012,Pelaksanaan Piket dan Penyediaan Tenaga Pelayanan Sosial PSPP Khusnul Khotimah,653.648.950
1.13 Sosial,1.13.025 PSPP Khusnul Khotimah,1.13 025 02 001,Pemeliharaan Sarana dan Prasarana PSPP Khusnul Khotimah,251.757.843
1.13 Sosial,1.13.026 PSBKW Harapan Mulya,1.13 026 00 000 5,BELANJA DAERAH,5.331.000.000
1.13 Sosial,1.13.026 PSBKW Harapan Mulya,1.13 026 01 009,Penyelenggaraan Operasional Kantor PSBKW Harapan Mulia,1.727.500.000
1.13 Sosial,1.13.026 PSBKW Harapan Mulya,1.13 026 01 010,Penyediaan Jasa TALI dan IPAL (12 Bulan),200.000.000
1.13 Sosial,1.13.026 PSBKW Harapan Mulya,1.13 026 01 011,Penyediaan Makanan dan Minuman WBS PSBKW Harapan Mulia,1.095.000.000
1.13 Sosial,1.13.026 PSBKW Harapan Mulya,1.13 026 01 012,Pelayanan dan Rehabilitasi Warga Binaan Sosial PSBKW Harapan Mulia,1.340.000.000
1.13 Sosial,1.13.026 PSBKW Harapan Mulya,1.13 026 01 013,Pelaksanaan Piket dan Penyediaan Tenaga Pelayanan Sosial PSBKW Harapan Mulia,423.500.000
1.13 Sosial,1.13.026 PSBKW Harapan Mulya,1.13 026 02 001,Pemeliharaan Ringan Panti Sosial,230.000.000
1.13 Sosial,1.13.026 PSBKW Harapan Mulya,1.13 026 02 002,Pemeliharaan kebersihan dan tanaman lingkungan panti sosial,315.000.000
1.13 Sosial,1.13.027 Sudin Sosial - JAKPUS,1.13 027 00 000 5,BELANJA DAERAH,25.067.325.855
1.13 Sosial,1.13.027 Sudin Sosial - JAKPUS,1.13 027 01 017,Pemberdayaan PMKS Potensial,999.998.904
1.13 Sosial,1.13.027 Sudin Sosial - JAKPUS,1.13 027 01 018,Pelayanan Sosial Perintis Kemerdekaan/JPK dan Pahlawan,199.981.250
1.13 Sosial,1.13.027 Sudin Sosial - JAKPUS,1.13 027 01 019,Pelayanan Sosial PMKS Non Potensial Jakarta Pusat,5.131.748.600
1.13 Sosial,1.13.027 Sudin Sosial - JAKPUS,1.13 027 01 020,"Pelayanan, Pengendalian dan Penjangkauan PMKS tingkat Kota dan Kecamatan",2.294.397.670
1.13 Sosial,1.13.027 Sudin Sosial - JAKPUS,1.13 027 02 003,Pembangunan Sarana dan Prasarana Sosial Jakarta Pusat,709.999.953
1.13 Sosial,1.13.027 Sudin Sosial - JAKPUS,1.13 027 04 001,Pembinaan Lembaga dan Tenaga Kesejahteraan Sosial,1.699.998.902
1.13 Sosial,1.13.027 Sudin Sosial - JAKPUS,1.13 027 04 002,Pemberdayaan Keluarga Miskin,7.799.998.224
1.13 Sosial,1.13.027 Sudin Sosial - JAKPUS,1.13 027 04 003,Pelaksanaan Asistensi Sosial Lanjut Usia dan Penyandang Disabilitas dan Pelayanan Sosial Orang Terlantar,579.505.680
1.13 Sosial,1.13.027 Sudin Sosial - JAKPUS,1.13 027 05 001,Perlindungan Sosial Korban Bencana dan Peningkatan Penanggulangan Bencana Kota Adm Jakarta Pusat,4.704.409.196
1.13 Sosial,1.13.027 Sudin Sosial - JAKPUS,1.13 027 06 001,Operasional Kantor Sudin Sosial Jakarta Pusat,849.608.476
1.13 Sosial,1.13.027 Sudin Sosial - JAKPUS,1.13 027 06 002,Penyediaan Jasa TALI dan IPAL (12 Bulan),74.460.000
1.13 Sosial,1.13.027 Sudin Sosial - JAKPUS,1.13 027 08 001,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,23.219.000
1.13 Sosial,1.13.028 Sudin Sosial - JAKUT,1.13 028 00 000 5,BELANJA DAERAH,20.672.357.258
1.13 Sosial,1.13.028 Sudin Sosial - JAKUT,1.13 028 01 006,Pelayanan Sosial PMKS Non Potensial Jakarta Utara,7.256.467.808
1.13 Sosial,1.13.028 Sudin Sosial - JAKUT,1.13 028 01 024,"Pelayanan, Perlindungan dan Pengendalian Sosial PMKS Jalanan Tk. Kota dan Kecamatan",1.499.998.600
1.13 Sosial,1.13.028 Sudin Sosial - JAKUT,1.13 028 02 001,Perencanaan Sarana dan Prasarana Sosial Jakarta Utara,1.369.456.000
1.13 Sosial,1.13.028 Sudin Sosial - JAKUT,1.13 028 02 002,Pengadaan Sarana Sosial Jakarta Utara,699.962.355
1.13 Sosial,1.13.028 Sudin Sosial - JAKUT,1.13 028 03 001,Pembinaan Lembaga dan Tenaga Kesejahteraan Sosial,1.599.440.782
1.13 Sosial,1.13.028 Sudin Sosial - JAKUT,1.13 028 04 001,Pemberdayaan Keluarga Miskin melalui UEP dan KUBE,1.149.488.525
1.13 Sosial,1.13.028 Sudin Sosial - JAKUT,1.13 028 04 002,Pemberdayaan PMKS Potensial,1.146.475.950
1.13 Sosial,1.13.028 Sudin Sosial - JAKUT,1.13 028 05 001,Perlindungan Sosial Korban Bencana dan Peningkatan Penanggulangan Bencana Kota Administrasi Jakarta Utara,3.499.956.575
1.13 Sosial,1.13.028 Sudin Sosial - JAKUT,1.13 028 05 002,Kesiapsiagaan Bencana Tk.Kota dan Tk. Kecamatan,549.849.000
1.13 Sosial,1.13.028 Sudin Sosial - JAKUT,1.13 028 05 003,Bimbingan dan Latihan Satgasos Penanggulangan Bencana,99.880.750
1.13 Sosial,1.13.028 Sudin Sosial - JAKUT,1.13 028 05 004,Pelayanan Sosial dan Silahturahmi PK/JPK dalam rangka HUT RI dan Hari Pahlawan Tk. Kota,199.330.600
1.13 Sosial,1.13.028 Sudin Sosial - JAKUT,1.13 028 05 005,Pelaksanaan Asistensi Sosial Lanjut Usia dan Penyandang Disabilitas,323.871.880
1.13 Sosial,1.13.028 Sudin Sosial - JAKUT,1.13 028 05 006,Pelayanan sosial orang terlantar ke Daerah Asal Dalam Pulau Jawa,74.843.400
1.13 Sosial,1.13.028 Sudin Sosial - JAKUT,1.13 028 06 001,Penyelenggaraan Operasional Kantor Sudin Sosial Jakarta Utara,679.719.733
1.13 Sosial,1.13.028 Sudin Sosial - JAKUT,1.13 028 06 002,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,74.283.400
1.13 Sosial,1.13.028 Sudin Sosial - JAKUT,1.13 028 06 003,Penyediaan Jasa TALI dan IPAL (12 Bulan),149.999.500
1.13 Sosial,1.13.028 Sudin Sosial - JAKUT,1.13 028 15 001,Penyelenggaraan dan Partisipasi Event Sosial Jakarta Utara,299.332.400
1.13 Sosial,1.13.029 Sudin Sosial - JAKBAR,1.13 029 00 000 5,BELANJA DAERAH,21.678.181.320
1.13 Sosial,1.13.029 Sudin Sosial - JAKBAR,1.13 029 02 005,Pengadaan Petty Stock Bencana dan Perlindungan Sosial Korban Pasca Bencana,999.998.625
1.13 Sosial,1.13.029 Sudin Sosial - JAKBAR,1.13 029 02 006,Rehab Gedung SKKT 3 Lokasi,599.998.768
1.13 Sosial,1.13.029 Sudin Sosial - JAKBAR,1.13 029 02 007,Pemeliharaan Gedung SKKT,749.998.302
1.13 Sosial,1.13.029 Sudin Sosial - JAKBAR,1.13 029 02 008,Pengelolaan Gedung SKKT,199.997.588
1.13 Sosial,1.13.029 Sudin Sosial - JAKBAR,1.13 029 02 009,Pengadaan Sarana Sosial Jakarta Barat,449.997.959
1.13 Sosial,1.13.029 Sudin Sosial - JAKBAR,1.13 029 03 001,Pelimpahan Kewenangan dari Sudin Sosial,7.953.247.603
1.13 Sosial,1.13.029 Sudin Sosial - JAKBAR,1.13 029 04 001,Penyelenggaraan dan Partisipasi Event Sosial Jakarta Barat,299.999.440
1.13 Sosial,1.13.029 Sudin Sosial - JAKBAR,1.13 029 05 001,Penyelenggaraan Dapur Umum Korban Bencana,1.999.998.300
1.13 Sosial,1.13.029 Sudin Sosial - JAKBAR,1.13 029 06 001,Penyelengaraan Operasional Kantor Sudin Sosial Jakarta Barat,649.998.123
1.13 Sosial,1.13.029 Sudin Sosial - JAKBAR,1.13 029 06 002,Penyediaan Jasa TALI dan IPAL (12 Bulan),174.950.560
1.13 Sosial,1.13.029 Sudin Sosial - JAKBAR,1.13 029 08 001,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,49.999.372
1.13 Sosial,1.13.029 Sudin Sosial - JAKBAR,1.13 029 11 001,Pelayanan Sosial Masyarakat Jakarta Barat,4.149.998.380
1.13 Sosial,1.13.029 Sudin Sosial - JAKBAR,1.13 029 12 001,"Pembinaan, Pengembangan dan Pengawasan Sosial Jakarta Barat",3.399.998.300
1.13 Sosial,1.13.030 Sudin Sosial - JAKSEL,1.13 030 00 000 5,BELANJA DAERAH,18.071.164.582
1.13 Sosial,1.13.030 Sudin Sosial - JAKSEL,1.13 030 02 002,Peningkatan Sarana dan Prasarana Penanggulangan Bencana,299.999.700
1.13 Sosial,1.13.030 Sudin Sosial - JAKSEL,1.13 030 03 001,"Pembinaan, Pengembangan dan Pengawasan Sosial Jakarta Selatan",3.149.774.358
1.13 Sosial,1.13.030 Sudin Sosial - JAKSEL,1.13 030 04 001,Penguatan Kemandirian Lanjut Usia,349.999.025
1.13 Sosial,1.13.030 Sudin Sosial - JAKSEL,1.13 030 04 002,Penguatan Kemandirian Penyandang Disabilitas,149.998.900
1.13 Sosial,1.13.030 Sudin Sosial - JAKSEL,1.13 030 04 003,Penguatan Kemandirian Tuna Sosial,199.998.200
1.13 Sosial,1.13.030 Sudin Sosial - JAKSEL,1.13 030 05 001,Pelayanan Sosial Masyarakat Jakarta Selatan,5.124.776.850
1.13 Sosial,1.13.030 Sudin Sosial - JAKSEL,1.13 030 05 002,Pengadaan Petty Stock Bencana dan Perlindungan Sosial Korban Pasca Bencana,999.998.900
1.13 Sosial,1.13.030 Sudin Sosial - JAKSEL,1.13 030 05 003,Pemenuhan Kebutuhan Dasar Anak Bermasalah Sosial,4.379.623.700
1.13 Sosial,1.13.030 Sudin Sosial - JAKSEL,1.13 030 05 004,Pemenuhan Kebutuhan Dasar Lanjut Usia,2.289.999.200
1.13 Sosial,1.13.030 Sudin Sosial - JAKSEL,1.13 030 05 005,Pemenuhan Kebutuhan Dasar Penyandang Disabilitas,282.499.640
1.13 Sosial,1.13.030 Sudin Sosial - JAKSEL,1.13 030 06 001,Penyelenggaraan Operasional Kantor Sudin Sosial Jakarta Selatan,759.999.269
1.13 Sosial,1.13.030 Sudin Sosial - JAKSEL,1.13 030 06 002,Penyediaan TALI dan IPAL (12 Bulan),34.577.280
1.13 Sosial,1.13.030 Sudin Sosial - JAKSEL,1.13 030 06 003,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,49.919.560
1.13 Sosial,1.13.031 Sudin Sosial - JAKTIM,1.13 031 00 000 5,BELANJA DAERAH,21.419.982.093
1.13 Sosial,1.13.031 Sudin Sosial - JAKTIM,1.13 031 01 020,Pemenuhan Kebutuhan Dasar Anak Bermasalah Sosial,4.434.373.425
1.13 Sosial,1.13.031 Sudin Sosial - JAKTIM,1.13 031 01 021,Pemenuhan Kebutuhan Dasar Lanjut Usia,2.153.124.800
1.13 Sosial,1.13.031 Sudin Sosial - JAKTIM,1.13 031 01 022,Pemenuhan Kebutuhan Dasar Penyandang Disabilitas,282.499.375
1.13 Sosial,1.13.031 Sudin Sosial - JAKTIM,1.13 031 02 001,Rehab Sasana Krida Karang Taruna (SKKT)Kelurahan Cipinang Melayu,199.999.969
1.13 Sosial,1.13.031 Sudin Sosial - JAKTIM,1.13 031 02 002,Rehab Sasana Krida Karang Taruna (SKKT) Kelurahan Penggilingan,199.999.964
1.13 Sosial,1.13.031 Sudin Sosial - JAKTIM,1.13 031 02 003,Rehab Sasana Krida Karang Taruna (SKKT)Kelurahan Kelapa Dua Wetan,199.999.830
1.13 Sosial,1.13.031 Sudin Sosial - JAKTIM,1.13 031 02 004,Rehab Sasana Krida Karang Taruna (SKKT) Kelurahan Pisangan Timur,199.999.653
1.13 Sosial,1.13.031 Sudin Sosial - JAKTIM,1.13 031 03 001,"Pembinaan, Pengawasan dan Pengendalian Sosial Jakarta Timur",3.049.999.532
1.13 Sosial,1.13.031 Sudin Sosial - JAKTIM,1.13 031 04 001,Penguatan Kemandirian Lanjut Usia,449.999.450
1.13 Sosial,1.13.031 Sudin Sosial - JAKTIM,1.13 031 04 002,Penguatan Kemandirian Penyandang Disabilitas,149.997.750
1.13 Sosial,1.13.031 Sudin Sosial - JAKTIM,1.13 031 04 003,Penguatan Kemandirian Tuna Sosial,199.998.723
1.13 Sosial,1.13.031 Sudin Sosial - JAKTIM,1.13 031 05 001,Penyelenggaraan Dapur Umum korban bencana,2.499.999.950
1.13 Sosial,1.13.031 Sudin Sosial - JAKTIM,1.13 031 05 002,Pelayanan Sosial Masyarakat Jakarta Timur,2.049.999.660
1.13 Sosial,1.13.031 Sudin Sosial - JAKTIM,1.13 031 05 003,"Pengadaan Petty Stock Korban Bencana, Sarana dan Prasarana Dapur Umum Tingkat Kota",1.000.000.000
1.13 Sosial,1.13.031 Sudin Sosial - JAKTIM,1.13 031 06 001,Penyelenggaraan Operasional Kantor Sudin Sosial Jakarta Timur,699.998.412
1.13 Sosial,1.13.031 Sudin Sosial - JAKTIM,1.13 031 06 004,Penyediaan Jasa TALI dan IPAL (12 bulan),449.993.016
1.13 Sosial,1.13.031 Sudin Sosial - JAKTIM,1.13 031 06 005,Rehab Gedung Sudin Sosial,2.999.999.445
1.13 Sosial,1.13.031 Sudin Sosial - JAKTIM,1.13 031 06 006,"Perawatan mekanikal elektrikal, Pengelolaan dan Pemeliharaan Inventaris Kantor Sudin",199.999.139
1.14 Tenaga Kerja,1.14.001 DINAS TENAGA KERJA DAN TRANSMIGRASI,1.14 001 00 000 4,PENDAPATAN DAERAH,69.800.000.000
1.14 Tenaga Kerja,1.14.001 DINAS TENAGA KERJA DAN TRANSMIGRASI,1.14 001 00 000 5,BELANJA DAERAH,228.962.491.387
1.14 Tenaga Kerja,1.14.001 DINAS TENAGA KERJA DAN TRANSMIGRASI,1.14 001 01 005,Koordinasi Ketenagakerjaan dan Ketransmigrasian Bagi Anggota Mitra Praja Utama (MPU),150.000.000
1.14 Tenaga Kerja,1.14.001 DINAS TENAGA KERJA DAN TRANSMIGRASI,1.14 001 01 006,"Pembinaan, Pengembangan dan Pengawasan Ketenagakerjaan dan Transmigrasi",15.798.446.911
1.14 Tenaga Kerja,1.14.001 DINAS TENAGA KERJA DAN TRANSMIGRASI,1.14 001 01 007,Penyelenggaran dan partisipasi event Ketenagakerjaan dan Ketransmigrasian,749.517.460
1.14 Tenaga Kerja,1.14.001 DINAS TENAGA KERJA DAN TRANSMIGRASI,1.14 001 05 001,Perencanaan Ketenagakerjaan dan Ketransmigrasian,455.001.800
1.14 Tenaga Kerja,1.14.001 DINAS TENAGA KERJA DAN TRANSMIGRASI,1.14 001 06 001,Penyediaan Jasa TALI dan IPAL (12 bulan),2.696.706.720
1.14 Tenaga Kerja,1.14.001 DINAS TENAGA KERJA DAN TRANSMIGRASI,1.14 001 06 002,Penyelenggaran operasional Kantor Ketenagakerjaan dan Ketransmigrasian,5.299.992.286
1.14 Tenaga Kerja,1.14.001 DINAS TENAGA KERJA DAN TRANSMIGRASI,1.14 001 06 003,Penyediaan Makanan dan minuman Penanganan Unjuk Rasa,400.000.000
1.14 Tenaga Kerja,1.14.001 DINAS TENAGA KERJA DAN TRANSMIGRASI,1.14 001 08 001,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,149.999.210
1.14 Tenaga Kerja,1.14.002 PPKD Jakarta Pusat,1.14 002 00 000 5,BELANJA DAERAH,7.494.293.884
1.14 Tenaga Kerja,1.14.002 PPKD Jakarta Pusat,1.14 002 01 001,Penyelenggaraan Operasional Pusat Pelatihan Kerja Daerah Jakarta Pusat,2.275.107.333
1.14 Tenaga Kerja,1.14.002 PPKD Jakarta Pusat,1.14 002 01 004,Pengadaan Peralatan Pelatihan Kerja,516.178.196
1.14 Tenaga Kerja,1.14.002 PPKD Jakarta Pusat,1.14 002 01 005,Penyelenggaraan Pelatihan Kerja dan Penempatan Tenaga Kerja,4.106.627.016
1.14 Tenaga Kerja,1.14.002 PPKD Jakarta Pusat,1.14 002 06 001,Penyediaan Jasa Tali dan IPAL (12 Bulan),361.482.000
1.14 Tenaga Kerja,1.14.002 PPKD Jakarta Pusat,1.14 002 08 001,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,234.899.339
1.14 Tenaga Kerja,1.14.003 PPKD Jakarta Utara,1.14 003 00 000 5,BELANJA DAERAH,20.222.762.230
1.14 Tenaga Kerja,1.14.003 PPKD Jakarta Utara,1.14 003 01 008,Penyelenggaraan Pelatihan Kerja dan Penempatan Tenaga Kerja,10.369.968.877
1.14 Tenaga Kerja,1.14.003 PPKD Jakarta Utara,1.14 003 04 001,Pengadaaan Peralatan Pelatihan PPKD Jakarta Utara,1.948.479.150
1.14 Tenaga Kerja,1.14.003 PPKD Jakarta Utara,1.14 003 06 001,Penyediaan Jasa Tali dan IPAL( 12 Bulan),1.144.977.340
1.14 Tenaga Kerja,1.14.003 PPKD Jakarta Utara,1.14 003 06 002,"Pemeliharaan Taman,Genset,Peralatan Pelatihan,Gedung Kantor PPKD Jakarta Utara",2.029.950.992
1.14 Tenaga Kerja,1.14.003 PPKD Jakarta Utara,1.14 003 06 003,Penyelenggaraan Operasional Pusat Pelatihan Kerja Daerah Jakarta Utara,4.254.984.473
1.14 Tenaga Kerja,1.14.003 PPKD Jakarta Utara,1.14 003 06 004,Penghapusan Aset/Barang PPKD Jakarta Utara,99.762.000
1.14 Tenaga Kerja,1.14.003 PPKD Jakarta Utara,1.14 003 08 002,"Biaya Pajak, Bahan Bakar Kendaraan dan Pemeliharaan Kendaraan Dinas Operasional PPKD Jakarta Utara",374.639.398
1.14 Tenaga Kerja,1.14.004 PPKD Jakarta Barat,1.14 004 00 000 5,BELANJA DAERAH,24.299.936.018
1.14 Tenaga Kerja,1.14.004 PPKD Jakarta Barat,1.14 004 01 001,Penyelenggaraan Operasional Pusat Pelatihan Kerja Daerah Jakarta Barat,2.774.999.921
1.14 Tenaga Kerja,1.14.004 PPKD Jakarta Barat,1.14 004 01 004,Pengadaan Peralatan Pendidikan dan Keterampilan bagi Pencari Kerja,11.494.999.824
1.14 Tenaga Kerja,1.14.004 PPKD Jakarta Barat,1.14 004 01 005,Penyelenggaraan Pelatihan Kerja dan Penempatan Tenaga Kerja,9.179.999.871
1.14 Tenaga Kerja,1.14.004 PPKD Jakarta Barat,1.14 004 01 006,Perencanaan Eksterior dan Taman Pusat Pelatihan Kerja Daerah Jakarta Barat,149.952.000
1.14 Tenaga Kerja,1.14.004 PPKD Jakarta Barat,1.14 004 06 001,Penyediaan Jasa Tali dan IPAL (12 Bulan),499.998.312
1.14 Tenaga Kerja,1.14.004 PPKD Jakarta Barat,1.14 004 08 001,Penyediaan BBM dan Pemeliharaan Kendaraan Dinas Operasional Kantor,199.986.090
1.14 Tenaga Kerja,1.14.005 PPKD Jakarta Selatan,1.14 005 00 000 5,BELANJA DAERAH,35.132.529.184
1.14 Tenaga Kerja,1.14.005 PPKD Jakarta Selatan,1.14 005 01 001,Penyelenggaraan Operasional Pusat Pelatihan Kerja Daerah Jakarta Selatan,1.827.157.090
1.14 Tenaga Kerja,1.14.005 PPKD Jakarta Selatan,1.14 005 01 004,Pemeliharaan Peralatan Pelatihan,89.812.800
1.14 Tenaga Kerja,1.14.005 PPKD Jakarta Selatan,1.14 005 01 005,Penyediaan Sewa Gedung untuk Kantor Sementara,198.880.000
